식품명	1회제공량
문어밤 슈림프 더블치즈엣지(오리지널 M)	144
베스트 콰트로(오리지널 L)	186
베스트 콰트로(오리지널 M)	134
베스트 콰트로(나폴리L)	157
베스트 콰트로(나폴리M)	107
베스트 콰트로(씬 L)	129
베스트 콰트로(씬 M)	181
베스트 콰트로(슈퍼시드 함유 도우L)	112
베스트 콰트로(슈퍼시드 함유 도우M)	132
베스트 콰트로 더블치즈엣지(오리지널 L)	159
베스트 콰트로 더블치즈엣지(오리지널 M)	160
베이컨체더치즈(오리지널 L)	194
베이컨체더치즈(오리지널 M)	114
베이컨체더치즈(나폴리L)	129
베이컨체더치즈(나폴리M)	176
베이컨체더치즈(씬 L)	143
베이컨체더치즈(씬 M)	147
베이컨체더치즈(슈퍼시드 함유 도우L)	125
베이컨체더치즈(슈퍼시드 함유 도우M)	113
베이컨체더치즈 더블치즈엣지(오리지널 L)	129
베이컨체더치즈 더블치즈엣지(오리지널 M)	135
불고기(오리지널 L)	158
불고기(오리지널 M)	121
불고기(나폴리L)	129
불고기(나폴리M)	177
불고기(씬 L)	102
불고기(씬 M)	162
불고기(슈퍼시드 함유 도우L)	125
불고기(슈퍼시드 함유 도우M)	121
불고기 더블치즈엣지(오리지널 L)	134
불고기 더블치즈엣지(오리지널 M)	139
블랙앵거스 스테이크(오리지널 L)	158
블랙앵거스 스테이크(오리지널 M)	126
블랙앵거스 스테이크(나폴리L)	160
블랙앵거스 스테이크(나폴리M)	103
블랙앵거스 스테이크(씬 L)	121
블랙앵거스 스테이크(씬 M)	169
블랙앵거스 스테이크(슈퍼시드 함유 도우L)	103
블랙앵거스 스테이크(슈퍼시드 함유 도우M)	126
블랙앵거스 스테이크 더블치즈엣지(오리지널 L)	158
블랙앵거스 스테이크 더블치즈엣지(오리지널 M)	156
블랙타이거 슈림프(오리지널 L)	198
블랙타이거 슈림프(오리지널 M)	123
블랙타이거 슈림프(나폴리M)	191
블랙타이거 슈림프(나폴리L)	159
블랙타이거 슈림프(씬 M)	188
블랙타이거 슈림프(씬 L)	125
블랙타이거 슈림프(슈퍼시드 함유 도우L)	157
블랙타이거 슈림프 더블치즈엣지(오리지널 L)	118
블랙타이거슈림프(슈퍼시드 함유 도우M)	144
블랙타이거슈림프 더블치즈엣지(오리지널 M)	193
슈퍼디럭스(오리지널 L)	248
슈퍼디럭스(오리지널 M)	134
슈퍼디럭스(나폴리L)	150
슈퍼디럭스(나폴리M)	107
슈퍼디럭스(씬 L)	118
슈퍼디럭스(씬 M)	186
슈퍼디럭스(슈퍼시드 함유 도우L)	155
슈퍼디럭스(슈퍼시드 함유 도우M)	133
슈퍼디럭스 더블치즈엣지(오리지널 L)	149
슈퍼디럭스 더블치즈엣지(오리지널 M)	159
슈퍼슈프림(오리지널 L)	188
슈퍼슈프림(오리지널 M)	151
슈퍼슈프림(나폴리L)	168
슈퍼슈프림(나폴리M)	123
슈퍼슈프림(씬 L)	139
슈퍼슈프림(씬 M)	111
슈퍼슈프림(슈퍼시드 함유 도우L)	120
슈퍼슈프림(슈퍼시드 함유 도우M)	146
슈퍼슈프림 더블치즈엣지(오리지널 L)	165
슈퍼슈프림 더블치즈엣지(오리지널 M)	172
와규 앤 비스테카(오리지널 L)	193
와규 앤 비스테카(오리지널 M)	130
와규 앤 비스테카(나폴리L)	154
와규 앤 비스테카(나폴리M)	107
와규 앤 비스테카(씬 L)	130
와규 앤 비스테카(씬 M)	179
와규 앤 비스테카(슈퍼시드 함유 도우L)	104
와규 앤 비스테카(슈퍼시드 함유 도우M)	131
와규 앤 비스테카 더블치즈엣지(오리지널 L)	156
와규 앤 비스테카 더블치즈엣지(오리지널 M)	163
우리 고구마(오리지널 L)	198
우리 고구마(오리지널 M)	128
우리 고구마(나폴리L)	157
우리 고구마(나폴리M)	107
우리 고구마(씬 L)	134
우리 고구마(씬 M)	175
우리 고구마(슈퍼시드 함유 도우L)	109
우리 고구마(슈퍼시드 함유 도우M)	130
우리 고구마 더블치즈엣지(오리지널 L)	166
우리 고구마 더블치즈엣지(오리지널 M)	156
직화 스테이크(오리지널 L)	193
직화 스테이크(오리지널 M)	126
직화 스테이크(나폴리L)	160
직화 스테이크(나폴리M)	100
직화 스테이크(씬 L)	134
직화 스테이크(씬 M)	162
직화 스테이크(슈퍼시드 함유 도우L)	110
직화 스테이크(슈퍼시드 함유 도우M)	124
직화 스테이크 더블치즈엣지(오리지널 M)	162
직화 스테이크 더블치즈엣지(오리지널 L)	194
치즈(오리지널 L)	151
치즈(오리지널 M)	191
치즈(나폴리L)	112
치즈(나폴리M)	136
치즈(씬 L)	116
치즈(씬 M)	110
치즈(슈퍼시드 함유 도우L)	124
치즈(슈퍼시드 함유 도우M)	191
치즈 더블치즈엣지(오리지널 L)	112
치즈가든(오리지널 L)	243
치즈가든(오리지널 M)	109
치즈가든(나폴리L)	132
치즈가든(나폴리M)	171
치즈가든(씬 L)	100
치즈가든(씬 M)	137
치즈가든(슈퍼시드 함유 도우L)	114
치즈가든(슈퍼시드 함유 도우M)	109
치즈가든 더블치즈엣지(오리지널 L)	129
치즈가든 더블치즈엣지(오리지널 M)	138
치즈피자 더블치즈엣지(오리지널 M)	168
페퍼로니(오리지널 L)	145
페퍼로니(오리지널 M)	102
페퍼로니(나폴리L)	118
페퍼로니(나폴리M)	148
페퍼로니(씬 L)	127
페퍼로니(씬 M)	131
페퍼로니(슈퍼시드 함유 도우L)	109
페퍼로니(슈퍼시드 함유 도우M)	105
페퍼로니 더블치즈엣지(오리지널 L)	124
페퍼로니 더블치즈엣지(오리지널 M)	124
포테이토(오리지널 L)	147
포테이토(오리지널 M)	139
포테이토(나폴리L)	149
포테이토(나폴리M)	115
포테이토(씬 L)	122
포테이토(씬 M)	103
포테이토(슈퍼시드 함유 도우L)	109
포테이토(슈퍼시드 함유 도우M)	139
포테이토 더블치즈엣지(오리지널 L)	150
포테이토 더블치즈엣지(오리지널 M)	154
