식품명	1회제공량
참치볶음밥	230
채소김밥	280
채소볶음밥	260
치즈김밥	270
카레라이스	480
콩나물국밥	780
콩나물밥	320
팥밥	200
표고버섯볶음밥	300
하이라이스	360
현미밥	230
흑미밥	200
감자볶음	100
감자채소볶음	130
건새우볶음	20
고추볶음	100
김치볶음	100
꽈리고추멸치볶음	50
낙지볶음	200
느타리버섯볶음	50
닭가슴살피망볶음	80
닭발볶음	200
닭볶음	300
당근볶음	90
돼지고기김치볶음	230
돼지고기채소볶음	230
돼지곱창순대볶음	230
떡볶이	180
라볶이	200
마늘쫑볶음	140
마늘쫑잔멸치볶음	50
마파두부	160
멸치견과류볶음	50
멸치마늘쫑볶음	50
멸치볶음	50
묵은지삼겹살볶음	200
문어고추장볶음	200
미역줄기볶음	80
브로콜리볶음	90
새송이버섯볶음	120
새우볶음	200
소시지볶음	200
쇠고기고추장볶음	220
쇠고기버섯볶음	230
쇠고기볶음	190
쇠고기채소볶음	230
양파볶음	80
어묵볶음	140
어묵잡채	280
어묵채소볶음 	90
오징어볶음	200
오징어채볶음	20
유산슬	220
잔멸치견과류볶음	50
잔멸치고추볶음	50
잔멸치꽈리고추볶음	50
잔멸치볶음	50
잔멸치풋고추볶음	50
잡채	200
제육볶음	250
죽순쇠고기볶음	230
참치 김치볶음	100
채소떡볶이	200
콩나물잡채	230
팔보채	220
풋고추멸치볶음	50
햄채소볶음	220
BLT샌드위치	220
감자크로켓	150
꽈배기	70
닭가슴살샌드위치	230
도넛	70
롤케이크	100
링도넛	100
마늘빵	50
머핀	130
모닝빵	70
모카빵	150
베이글	120
불고기버거	200
사과파이	100
생크림케이크	100
소보로빵	70
식빵	100
식빵토스트	100
찐빵	250
참치 샌드위치	250
찹쌀도넛	70
채소샌드위치	180
초코 소라빵	70
츄러스	70
치킨버거	200
카스텔라	70
콤비네이션피자	200
크로아상	150
페이스트리	70
피자빵	200
햄버거	200
햄샌드위치	200
햄치즈샌드위치	240
호떡	150
가오리회무침	230
감자샐러드	150
골뱅이국수무침	230
과일샐러드	140
굴무생채	300
굴무침	80
김무침	30
낙지무침	180
느타리버섯무침	150
다시마무침	90
단호박샐러드	150
달래무침	60
닭가슴살샐러드	150
닭고기냉채	240
도라지생채	160
도라지오이생채	160
도토리묵 무침	200
돌나물무침	50
두릅초고추장무침	90
마늘쫑무침	30
무말랭이무침	20
무생채	150
미나리무침	90
미역초무침	50
민들레잎무침	90
배추겉절이	50
부추무침	100
북어채무침	150
상추겉절이	100
새싹채소샐러드	100
양배추샐러드	150
양상추샐러드	150
양장피	220
양파부추무침	100
열무겉절이	100
오이부추무침	100
오이생채	50
오이지무침	100
오징어무침	200
오징어물회	700
오징어채무침	80
오징어채소무침	240
옥수수샐러드	160
참치샐러드	150
채소샐러드	160
치커리겉절이	100
파래무침	30
파무침	150
풋고추된장무침	100
풋마늘무침	100
피조개무침	100
해초무침	100
호박오가리무침	100
회무침	250
육회	150
팥빙수	400
미숫가루	300
고추장아찌	60
깻잎장아찌	20
단무지	30
더덕장아찌	90
마늘장아찌	230
무짠지	50
양파장아찌	50
오이장아찌	50
오이지	50
일본매실장아찌	30
치킨무	130
가지전	200
감자전	200
고구마전	140
김치전	150
달걀말이	100
달걀프라이	60
돼지고기완자전	200
두부부침	100
떡갈비	200
맛살전	200
메밀전	180
부추전	150
쇠고기완자전	200
스크램블드에그	110
애호박전	150
참치완자전	200
채소전	100
표고버섯전	150
해물완자전	200
해물파전	150
햄달걀부침	100
가자미식해	250
간장게장	250
양념갈치젓	90
양념게장	200
양념멸치젓	5
양념새우젓	10
오징어젓	10
갈치조림	100
감자조림	50
건갈치조림	100
고등어조림	100
꽁치조림	100
달걀장조림	100
닭고추장조림	250
닭조림	150
돼지고기 메추리알 장조림	100
돼지고기장조림	100
두부조림	50
땅콩조림	20
마늘쫑조림	100
메추리알 장조림	100
멸치조림	100
무조림	150
미트볼조림	150
버섯조림	150
병어조림	100
삼치조림	100
쇠고기 메추리알 장조림	100
쇠고기장조림	100
양미리조림	100
어묵조림	200
연근조림	50
오징어조림	150
오징어채조림	50
우엉조림	30
쥐포조림	100
코다리조림	100
콩조림	30
닭죽	400
쇠고기죽	400
양송이스프	100
오리고기죽	400
전복죽	400
채소죽	400
팥죽	400
호박죽	400
흑임자죽	400
갈치찌개	250
감자탕	530
김치전골	270
꽁치김치찌개	270
꽃게탕	600
낙지전골	300
내장탕	600
냉이된장찌개	350
달래된장찌개	350
닭볶음탕	300
대구 매운탕	600
동태찌개	200
돼지고기김치찌개	200
돼지고기찌개	300
된장찌개	200
두부고추장찌개	500
두부된장찌개	270
두부쇠고기고추장찌개	280
두부애호박된장찌개	350
버섯샤브샤브	350
버섯전골	300
부대찌개	600
쇠고기 샤브샤브	600
쇠고기된장찌개	300
쇠고기전골	300
순두부김치찌개	200
순두부찌개	200
알탕	520
어묵김치찌개	260
오리백숙	300
오리탕	600
오징어찌개	250
장어탕	800
조개된장찌개	300
참치김치찌개	300
청국장찌개	200
추어탕	350
콩나물된장찌개	300
콩비지찌개	400
해물매운탕	600
햄 김치찌개	300
호박고추장찌개	280
가오리찜	200
깻잎찜	100
꼬막찜	200
꽈리고추찜	100
달걀찜(우유)	200
달걀찜	200
닭찜	300
돼지갈비찜	300
돼지고기 수육	300
쇠갈비찜	300
쇠고기사태찜	300
쇠고기수육	300
순대	220
아귀찜	200
애호박찜	100
족발	250
코다리찜	200
풋고추찜	100
해물콩나물찜	200
간장양념닭다리튀김	200
간장양념치킨	200
감자튀김	150
고등어튀김	150
김말이튀김	150
김튀김	50
깐풍기	150
다시마튀각	50
닭강정	200
닭날개튀김	200
등심돈까스	200
떡강정	200
미역튀각	50
새우탕수육	200
새우튀김	150
소시지튀김	200
오징어튀김	150
채소튀김	100
치킨너겟	150
탕수육	200
후라이드치킨	200
가다랑어	100
가다랑어	100
가다랑어	100
가다랑어	100
가다랑어-간	100
가다랑어-내장	100
가다랑어-레토르트식품(기름담금)	100
가다랑어-레토르트식품(조미)	100
가다랑어-보통육	100
가다랑어-보통육	100
가다랑어-알	100
가다랑어-통조림(기름담금)	100
가다랑어-포	100
가다랑어-혈합육	100
가다랑어-혈합육	100
가다랑어-혈합육	100
가라지	100
가래상어	100
가무락조개	100
가무락조개	100
가무락조개	100
가무락조개	100
가물치	100
가물치	100
가물치	100
가물치	100
가숭어	100
가시망둑	100
가시발새우	100
가시베도라치	100
가시베도라치	100
가재	100
각시가자미	100
각시돔	100
각시서대	100
각시서대	100
각시수랑	100
각시수랑	100
각시흰새우	100
갈가자미	100
갈고리흰오징어	100
갈고리흰오징어	100
갈고리흰오징어-근육	100
갈래곰보	100
갈래곰보	100
갈래곰보	100
갈래곰보	100
갈색고리돼지고둥	100
갈색띠매물고둥	100
갈색띠매물고둥	100
갈전갱이	100
갈전갱이	100
갈전갱이	100
갈치	100
갈치	100
갈치	100
갈치	100
갈치	100
갈치-속젓갈	100
갈치-얼간품	100
갈치-젓갈	100
갈파래	100
갈파래	100
감성돔	100
감성돔	100
감성돔	100
강담돔	100
강담돔-양식산	100
강도다리	100
강도다리	100
강도다리-알	100
강준치	100
개도박	100
개량조개	100
개량조개	100
개량조개	100
개량조개-소건품	100
개복치	100
개볼락	100
개볼락	100
개불	100
개불	100
개불	100
개서대	100
개조개	100
개조개	100
개조개	100
갯가재	100
갯가재	100
갯가재	100
갯개미자리	100
갯장어	100
갯장어	100
갯장어	100
갯질경이	100
거북등안장멍게	100
거북손	100
검복	100
검복	100
검복	100
게르치	100
게르치	100
게르치	100
고등어	100
고등어	100
고등어	100
고등어	100
고등어	100
고등어	100
고등어	100
고등어	100
고등어	100
고등어-대	100
고등어-보통육	100
고등어-세	100
고등어-소	100
고등어-염건품	100
고등어-염장품	100
고등어-중	100
고등어-통조림(보일드)	100
고등어-통조림(조미)	100
고등어-혈합육	100
고려홍어	100
고려홍어	100
고리매	100
고무꺽정이	100
곰피	100
곰피	100
곱상어	100
곳체다슬기	100
곳체다슬기	100
곳체다슬기	100
곳체다슬기	100
관절매물고둥	100
관절매물고둥	100
광동홍어	100
광동홍어	100
광동홍어	100
괴도라치	100
괴도라치	100
구갈돔	100
구멍갈파래	100
구멍갈파래	100
구멍갈파래	100
구멍갈파래-소건품	100
국매리복	100
군소	100
군소	100
군평선이	100
군평선이	100
궁제기서대	100
궁제기서대	100
그물베도라치	100
기름가자미	100
기름가자미-소건품	100
기름가자미-수컷	100
기름가자미-수컷	100
기름가자미-수컷	100
기름가자미-수컷	100
기름가자미-수컷	100
기름가자미-수컷	100
기름가자미-수컷	100
기름가자미-수컷	100
기름가자미-수컷	100
기름가자미-수컷	100
기름가자미-수컷	100
기름가자미-수컷	100
기름가자미-알	100
기름가자미-암컷	100
기름가자미-암컷	100
기름가자미-암컷	100
기름가자미-암컷	100
기름가자미-암컷	100
기름가자미-암컷	100
기름가자미-암컷	100
기름가자미-암컷	100
기름가자미-암컷	100
기름가자미-암컷	100
기름가자미-암컷	100
기름가자미-암컷	100
기름종개	100
긴고둥	100
긴고둥	100
긴꼬리벵에돔	100
긴뿔천길새우	100
김	100
까나리	100
까나리	100
까나리	100
까나리-액젓	100
까치복	100
까치복	100
까치복	100
까치상어	100
까칠복	100
까칠복	100
깨다시꽃게	100
깨다시꽃게	100
꺽저기	100
꼬막	100
꼬막	100
꼬시래기	100
꼬치고기	100
꼬치고기	100
꼬치고기	100
꼼치	100
꼼치	100
꼽새돔	100
꽁지양태	100
꽁치	100
꽁치	100
꽁치	100
꽁치	100
꽁치-동건품	100
꽁치-동건품	100
꽁치-통조림(보일드)	100
꽁치-통조림(조미)	100
꽃게	100
꽃게	100
꽃게	100
꽃게	100
꽃게-내장	100
꽃게-내장	100
꽃게-알	100
꽃새우	100
꽃새우-자건품	100
나문재	100
나비가오리	100
나팔고둥	100
낙지	100
낙지	100
낙지	100
낙지	100
낙지-내장	100
낙지-알	100
날개다랑어-통조림(기름담금)	100
날치	100
남방대구	100
남방도화새우	100
남방큰돌고래	100
남방큰돌고래-보통육	100
남방큰돌고래-지방	100
납작파래	100
납작파래	100
납작파래	100
납지리	100
넓은입물레고둥	100
넙치	100
넙치	100
넙치	100
넙치-무안부	100
넙치-무안부	100
넙치-무안부	100
넙치-생식소	100
넙치-양식산	100
넙치-유안부	100
넙치-유안부	100
넙치-유안부	100
넙치-지느러미	100
네동가리	100
노랑가오리	100
노랑가오리	100
노랑가오리	100
노랑가오리-간	100
노랑가자미-양식산	100
노랑가자미-자연산	100
노랑각시서대	100
노랑벤자리	100
노랑벤자리	100
노래미	100
노래미	100
노무라입깃해파리	100
녹새치	100
놀래기	100
놀래기	100
농어	100
농어	100
농어	100
농어-양식산	100
농어-자연산-대	100
농어-자연산-소	100
누루시볼락	100
누치	100
누치	100
눈가자미	100
눈강달이	100
눈강달이	100
눈강달이	100
눈강달이-젓갈	100
눈다랑어	100
눈다랑어	100
눈볼대	100
눈볼대	100
눈볼대	100
눈양태	100
눈퉁멸	100
눈퉁멸	100
능성어	100
능성어	100
능성어-간	100
다금바리	100
다슬기	100
다슬기	100
다슬기	100
다시마	100
다시마	100
다시마	100
다시마-소건품	100
다시마-소건품	100
달강어	100
달강어	100
달고기	100
달고기	100
달고기	100
달고기	100
달고기	100
달고기-알	100
닭게	100
닭새우	100
닭새우	100
닭새우	100
닭새우	100
대게	100
대게	100
대게-자건품	100
대구	100
대구	100
대구	100
대구-소건품	100
대구-소건품	100
대구-소건품	100
대구-수컷	100
대구-수컷	100
대구-수컷	100
대구-수컷-간	100
대구-수컷-근육	100
대구-수컷-내장	100
대구-알	100
대구-알	100
대구-알	100
대구-암컷	100
대구-암컷	100
대구-암컷-근육	100
대구-암컷-내장	100
대구-조미건품(포)	100
대구횟대	100
대두어	100
대문어	100
대문어	100
대문어	100
대문어-내장	100
대문어-몸통	100
대문어-소건품	100
대수리	100
대하	100
대하	100
대하	100
대하	100
대황-소건품	100
덕대	100
덕대-알	100
도다리	100
도다리	100
도다리	100
도다리	100
도도바리	100
도루묵	100
도루묵	100
도화돔	100
도화양태	100
도화양태	100
독가시치	100
독가시치	100
독돔	100
돌가자미	100
돌가자미	100
돌가자미-소건품	100
돌고기	100
돌돔	100
돌돔	100
돌돔	100
돌돔-양식산	100
돌돔-자연산	100
돔발상어	100
돔발상어-알	100
동갈돗돔	100
동갈치	100
동갈치	100
동남참게	100
동동갈치	100
동사리	100
동자개	100
동자개	100
동자개	100
동자개-알	100
동자개-양식산	100
동자개-자연산	100
동죽	100
동죽	100
동죽	100
동죽	100
돛양태	100
두드럭고둥	100
두툽상어	100
두툽상어	100
두툽상어	100
두툽상어-간	100
둑중개	100
둥근돌김-소건품	100
둥근전복	100
드렁허리	100
등가시치	100
등가시치	100
등가시치	100
떡붕어	100
떡붕어	100
떡붕어	100
떡붕어-알	100
떡붕어-알	100
떡조개	100
떡조개	100
또아리물레고둥	100
뜸부기-소건품	100
띠구슬다슬기	100
띠구슬다슬기	100
마디잘록이	100
만새기	100
만새기	100
말똥성게	100
말미잘	100
말미잘	100
말백합	100
말전복	100
말전복	100
말쥐치	100
말쥐치	100
말쥐치	100
말쥐치	100
말쥐치-조미건품	100
맛조개	100
맛조개	100
망상어	100
망상어	100
매끈이고둥	100
매끈이고둥	100
매리복	100
매리복	100
매생이	100
매생이	100
매생이-소건품	100
매오징어	100
매퉁이	100
매퉁이	100
매퉁이	100
맵사리	100
먹장어	100
먹장어	100
먹장어	100
먹장어-껍질	100
먹장어-전어체	100
멍게	100
멍게	100
멍게	100
멍게	100
메기	100
메기-자연산	100
메기-자연산	100
메기-자연산	100
멸치	100
멸치	100
멸치	100
멸치-근육	100
멸치-소건품-대멸	100
멸치-소건품-소멸	100
멸치-소건품-자멸	100
멸치-소건품-중멸	100
멸치-알	100
멸치-액젓	100
멸치-액젓	100
멸치-자건품-대멸	100
멸치-자건품-대멸	100
멸치-자건품-대멸	100
멸치-자건품-대멸	100
멸치-자건품-세멸	100
멸치-자건품-소멸	100
멸치-자건품-중멸	100
멸치-자건품-중멸	100
멸치-자건품-혼합	100
멸치-전어체	100
멸치-젓갈	100
멸치-젓갈	100
명태	100
명태	100
명태	100
명태	100
명태	100
명태-간	100
명태-간	100
명태-동건품(포)	100
명태-명란젓	100
명태-명란젓	100
명태-소건품	100
명태-소건품(노가리)	100
명태-소건품(코다리)	100
명태-알	100
명태-알	100
명태-조미건품(포)	100
명태-조미건품(포)	100
명태-창란젓	100
명태-창란젓	100
명태-포(먹태)	100
명태-포(북어)	100
모래무지	100
모무늬돌김-소건품	100
모자반	100
모자반	100
모자반	100
모자반-염장품	100
모조리상어	100
목탁가오리	100
몽치다래	100
무늬홍어	100
무지개송어	100
무지개송어	100
무지개송어	100
무지개송어	100
무지개송어	100
문절망둑	100
문절망둑	100
문절망둑	100
문치가자미	100
문치가자미	100
물가자미	100
물렁가시붉은새우	100
물렁가시붉은새우	100
물레고둥	100
물메기	100
물메기	100
물메기-근육	100
물메기-내장	100
물메기-내장	100
물치다래	100
미꾸라지	100
미꾸라지	100
미꾸리	100
미꾸리	100
미꾸리	100
미꾸리	100
미꾸리	100
미더덕	100
미더덕	100
미더덕	100
미더덕-껍질	100
미역	100
미역	100
미역	100
미역-소건품	100
미역-소건품	100
미역-양식산	100
미역-염장품(데침)	100
미역-자연산	100
미역-줄기	100
민꽃게	100
민달고기	100
민들조개	100
민어	100
민어	100
민어-양식산	100
민어-자연산	100
민어-조미건품	100
민태	100
민허리돼지고둥	100
밀복	100
밀복	100
밀복	100
밀복-조미건품(포)	100
밍크고래-꼬리	100
밍크고래-뱃살	100
밍크고래-보통육	100
밍크고래-콩팥	100
밍크고래-혀	100
바다빙어	100
바닷가재	100
바위굴-자연산	100
바위두둑	100
바지락	100
바지락	100
바지락	100
바지락	100
바지락	100
바지락	100
바지락	100
바지락	100
바지락-소건품	100
바지락-자숙품	100
바지락-젓갈	100
박대	100
반딧불게르치	100
반지	100
반지	100
반지	100
밤송이게	100
방사무늬김-소건품	100
방어	100
방어	100
방어	100
방어	100
방어	100
방어-혈합육	100
배스	100
배스	100
백미돔	100
백연	100
백합	100
백합	100
백합	100
밴댕이	100
밴댕이-자건품	100
밴댕이-자건품	100
밴댕이-젓갈	100
뱀장어	100
뱀장어	100
뱀장어	100
뱀장어-간	100
뱀장어-양식산	100
뱀장어-자연산	100
뱀장어-조미-구운치	100
뱅어	100
뱅어-소건품	100
뱅어-조미건품(포)	100
벌레문치	100
범가자미	100
범돔	100
범돔	100
베도라치	100
베도라치	100
베로치	100
벤자리	100
벤자리	100
벵에돔	100
벵에돔	100
벵에돔	100
벵에돔	100
별상어	100
별상어	100
별상어	100
별상어	100
별상어	100
별상어-간	100
별상어-간	100
별성대	100
별쭉지성대	100
별쭉지성대	100
병어	100
병어	100
병어	100
병어	100
병어-알	100
보구치	100
보구치	100
보구치	100
보라성게	100
보라성게	100
보라성게-알	100
보라성게-알	100
보리새우	100
보리새우	100
보리새우	100
보리새우	100
보말고둥	100
보말고둥	100
보말고둥	100
복섬	100
볼기우럭	100
볼락	100
볼락	100
볼락-양식산	100
볼락-자연산	100
부세	100
부세	100
부세	100
부시리	100
부시리	100
부채새우	100
부채새우	100
부채새우	100
부채새우	100
북방대합	100
북방대합	100
북방대합	100
북방전복-근육	100
북방전복-내장	100
북방전복-자숙품	100
북쪽분홍새우	100
분홍꼼치	100
불등풀가사리-소건품	100
불볼락	100
불볼락	100
불볼락	100
불볼락	100
붉바리	100
붉바리	100
붉바리	100
붉은대게	100
붉은대게	100
붉은대게-수컷-다리	100
붉은대게-수컷-몸통	100
붉은대게-알	100
붉은대게-암컷-다리	100
붉은대게-암컷-몸통	100
붉은맛	100
붉은맛	100
붉은맛	100
붉은멍게	100
붉은멍게	100
붉은메기	100
붉은메기	100
붉은메기	100
붉은메기	100
붕어	100
붕어	100
붕어	100
붕어	100
붕어-알	100
붕장어	100
붕장어	100
붕장어	100
붕장어	100
블루길	100
블루길	100
블루길	100
블루길-알	100
비단가리비	100
비단가리비	100
비단고둥	100
비단백합	100
비틀대모자반	100
비틀대모자반	100
빙어	100
빨간횟대	100
빨간횟대	100
빨강부치	100
빨강오징어	100
빨강오징어	100
뿔돔	100
뿔돔	100
사당놀래기	100
산천어	100
산천어	100
산천어	100
살살치	100
살살치	100
살오징어	100
살오징어	100
살오징어	100
살오징어	100
살오징어-소건품	100
살오징어-소건품	100
살오징어-소건품	100
살오징어-수컷	100
살오징어-수컷	100
살오징어-수컷	100
살오징어-수컷	100
살오징어-수컷	100
살오징어-수컷	100
살오징어-수컷	100
살오징어-수컷	100
살오징어-수컷	100
살오징어-암컷	100
살오징어-암컷	100
살오징어-암컷	100
살오징어-암컷	100
살오징어-암컷	100
살오징어-암컷	100
살오징어-암컷	100
살오징어-암컷	100
살오징어-암컷	100
살오징어-젓갈	100
살오징어-조미훈제품	100
살조개	100
살조개	100
삼세기	100
삼세기	100
삼세기	100
삼세기	100
삼치	100
삼치	100
삼치	100
삼치	100
삼치-보통육	100
삼치-혈합육	100
상괭이	100
새꼬막	100
새꼬막	100
새꼬막	100
새꼬막	100
새꼬막	100
새꼬막	100
새꼬막	100
새꼬막	100
새꼬막	100
새꼬막	100
새날치	100
새다래	100
새다래	100
새조개	100
새조개	100
새조개	100
샛돔	100
샛돔	100
샛멸	100
서실	100
서실	100
석묵-소건품	100
선홍치	100
성대	100
성대	100
성대	100
성대	100
세고리물레고둥	100
소라	100
소라	100
소라	100
소라	100
소라-근육	100
소라-내장	100
송어	100
송어	100
쇠갑오징어	100
쇠돌고래	100
쇠미역	100
쇠미역	100
쇠미역-소건품	100
수랑	100
수조기	100
수조기	100
순채	100
술봉가자미	100
숭어	100
숭어	100
숭어	100
숭어	100
실꼬리돔	100
실꼬리돔	100
실꼬리돔	100
쌍동가리	100
쌍동가리	100
쌍뿔달재	100
쏘가리	100
쏘가리	100
쏘가리	100
쏘가리	100
쏘가리	100
쏘가리	100
쏘가리	100
쏘가리	100
쏘가리	100
쏘가리-알	100
쏙	100
쏙	100
쏙	100
쏙	100
쏨뱅이	100
쏨뱅이	100
쑤기미	100
쑥감펭	100
쑥감펭	100
아귀	100
아귀	100
아귀	100
아귀-간	100
아귀-간	100
아귀-간	100
아귀-근육	100
아귀-내장	100
아귀-대창	100
아귀-조미건품(포)	100
아홉동가리	100
아홉동가리	100
악상어	100
애기삿갓조개	100
애기청각	100
애꼬치	100
양미리	100
양미리-반건품	100
양태	100
양태	100
어름돔	100
어름돔	100
얼룩통구멍	100
얼룩통구멍	100
여덟동가리	100
연어	100
연어	100
연어-알	100
연어-통조림(기름담금)	100
연어-통조림(조미)	100
연어-훈제품	100
연어병치	100
열쌍동가리	100
염주알다슬기	100
염주알다슬기	100
오분자기	100
오분자기	100
오분자기	100
옥돔	100
옥돔	100
옥돔-반건품	100
옥돔-염장품	100
왕게	100
왕우럭조개	100
왕우럭조개	100
왕우렁	100
용가자미	100
용가자미	100
용가자미	100
용서대	100
용치놀래기	100
용치놀래기	100
우각바리	100
우럭	100
우럭	100
우럭	100
우럭볼락	100
우럭볼락	100
우럭볼락	100
우뭇가사리	100
우뭇가사리	100
우뭇가사리	100
우뭇가사리	100
우뭇가사리-우무	100
우뭇가사리-한천	100
웅어	100
웅어	100
위고둥	100
위고둥	100
육동가리돔	100
은상어	100
은어	100
은어-양식산	100
은연어	100
인상어	100
임연수어	100
임연수어	100
잇바디돌김-소건품	100
잉어	100
잉어	100
잉어	100
잉어-근육	100
잉어-알	100
잉어-알	100
자라-국내산	100
자라-수입산	100
자리돔	100
자리돔-젓갈	100
자바리	100
자주복	100
자주복	100
자주복	100
자주복-양식산	100
자주복-자연산	100
장갱이	100
장갱이	100
장어베도라치	100
재첩	100
재첩	100
재첩	100
재첩-민물	100
재첩-해수	100
잿방어	100
전갱이	100
전갱이	100
전갱이	100
전갱이	100
전갱이	100
전갱이	100
전갱이-매가리	100
전갱이-매가리	100
전갱이-보통육	100
전갱이-염건품	100
전갱이-혈합육	100
전기가오리	100
전어	100
전어	100
전어	100
전어-젓갈	100
점감펭	100
점농어	100
점농어	100
점줄우럭	100
접시조개	100
접시조개	100
젓새우	100
정어리	100
정어리	100
정어리-가식부육	100
정어리-가식부육	100
정어리-가식부육	100
정어리-가식부육	100
정어리-가식부육	100
정어리-가식부육	100
정어리-가식부육	100
정어리-가식부육	100
정어리-보통육	100
정어리-전어체	100
정어리-전어체	100
정어리-전어체	100
정어리-전어체	100
정어리-전어체	100
정어리-전어체	100
정어리-전어체	100
정어리-혈합육	100
조각매물고둥	100
조각매물고둥	100
조각매물고둥	100
조각매물고둥-근육	100
조각매물고둥-내장	100
조개삿갓	100
조피볼락	100
조피볼락	100
조피볼락	100
조피볼락	100
졸복	100
졸복	100
좀주름다슬기	100
주꾸미	100
주꾸미	100
주꾸미-내장	100
주꾸미-혼합	100
주름다슬기	100
주름송편게	100
주름송편게	100
주먹물수배기	100
준치	100
준치	100
줄가자미	100
줄가자미	100
줄노래미	100
줄삼치	100
줄전갱이	100
중하	100
중하-자건품	100
중하-조미건품	100
쥐노래미	100
쥐노래미	100
쥐노래미	100
쥐치	100
쥐치	100
쥐치	100
쥐치-조미건품(포)	100
지중해담치	100
지중해담치	100
지중해담치	100
지중해담치	100
지중해담치	100
지중해담치	100
지중해담치	100
지중해담치	100
지중해담치	100
지중해담치	100
지중해담치	100
지중해담치	100
지중해담치	100
지중해담치	100
지채	100
지충이	100
지충이	100
진두발	100
진두발	100
진주담치	100
진주담치	100
진주담치	100
진주담치-소건품	100
진주담치-양식산	100
진주담치-자연산	100
진주조개	100
진흙새우	100
징거미새우	100
참가자미	100
참가자미	100
참가자미	100
참가자미-식해	100
참가자미-알	100
참게	100
참게	100
참굴	100
참굴	100
참굴	100
참굴	100
참굴	100
참굴-젓갈	100
참김	100
참김	100
참김	100
참김-소건품	100
참김-소건품	100
참김-조미건품	100
참다랑어	100
참다랑어	100
참다랑어	100
참다랑어	100
참다랑어-기름살(육)	100
참다랑어-내장	100
참다랑어-등살(상)	100
참다랑어-등살(상)	100
참다랑어-등살(중)	100
참다랑어-등살(중)	100
참다랑어-등살(하)	100
참다랑어-뱃살(상)	100
참다랑어-뱃살(상)	100
참다랑어-뱃살(중)	100
참다랑어-뱃살(중)	100
참다랑어-뱃살(하)	100
참다랑어-뱃살(하)	100
참다랑어-붉은살	100
참다슬기	100
참다슬기	100
참다슬기-국내산	100
참다슬기-수입산	100
참담치	100
참담치	100
참담치	100
참담치	100
참돌고래	100
참돔	100
참돔	100
참돔	100
참돔-알	100
참돔-양식산	100
참돔-양식산	100
참돔-자연산	100
참돔-자연산	100
참마자	100
참문어-내장	100
참문어-다리	100
참문어-몸통	100
참문어-소건품	100
참붕어	100
참서대	100
참서대	100
참서대-염건품	100
참조기	100
참조기	100
참조기	100
참조기	100
참조기-근육	100
참조기-알	100
참조기-염건품	100
참조기-염건품	100
참조기-염건품	100
참조기-젓갈	100
참홑파래-소건품	100
창꼴뚜기	100
창자파래-소건품	100
청각	100
청각	100
청각	100
청각	100
청각-소건품	100
청각-소건품	100
청멸	100
청멸	100
청보리멸	100
청보리멸	100
청보리멸	100
청보리멸	100
청상아리	100
청새리상어	100
청어	100
청어	100
청어	100
청어-근육	100
청어-동건품	100
청어-생식소	100
청어-생식소	100
청어-알	100
청어-알	100
청어-알	100
청자갈치	100
청자갈치	100
청줄돔	100
초록입홍합-수입산	100
초어	100
칠면초	100
칠성갈치	100
칠성갈치	100
콩깍지고둥	100
크릴	100
크릴-페이스트	100
큰가리비	100
큰가리비	100
큰가리비	100
큰가리비	100
큰구슬우렁이	100
큰논우렁이	100
큰논우렁이	100
키조개	100
키조개	100
키조개	100
키조개	100
키조개	100
키조개	100
키조개	100
키조개-전체(육)	100
키조개-패주	100
키조개-패주	100
키조개-패주	100
탁자볼락	100
털게	100
털탑고둥	100
털탑고둥	100
털탑고둥	100
토굴	100
톱니모자반	100
톱니모자반	100
톳	100
톳	100
톳	100
톳-자건품	100
톳-자건품	100
통치	100
투라치	100
퉁퉁마디	100
틸라피아	100
틸라피아	100
틸라피아	100
팔완향오징어	100
펄닭새우	100
펄닭새우	100
펄조개	100
푸렁통구멍	100
푸렁통구멍	100
풀가사리	100
풀가사리	100
풀망둑	100
풀반지	100
풍선군소	100
피라미	100
피뿔고둥	100
피뿔고둥	100
피뿔고둥	100
피조개	100
피조개	100
피조개	100
피조개	100
피조개-내장	100
학공치	100
학공치	100
학공치	100
학공치	100
해마	100
해삼	100
해삼	100
해삼-내장	100
해삼-몸통	100
해삼-창자젓	100
해파리-염장품	100
향어	100
향어	100
향어	100
향어	100
향어	100
호박돔	100
호박돔	100
혹돔	100
혹돔	100
혹돔	100
혹부리고래	100
홍가자미-암컷	100
홍감펭	100
홍다리얼룩새우	100
홍어	100
홍어	100
홍어-간	100
홍치	100
홍해삼-창자	100
황놀래기	100
황놀래기	100
황다랑어	100
황다랑어	100
황다랑어	100
황다랑어-내장	100
황다랑어-통조림(기름담금)	100
황돔	100
황돔	100
황돔	100
황매퉁이	100
황새치	100
황소개구리-다리살	100
황아귀	100
황아귀	100
황아귀	100
황어	100
황어	100
황점볼락	100
황점볼락	100
황줄돔	100
흉상어	100
흑대기	100
흰꼬리볼락	100
흰다리새우	100
흰다리새우	100
흰다리새우	100
흰점복	100
흰점복	100
히메치	100
히메치	100
가시파래-소건품	100
굴(참굴)	100
굴(참굴)	100
굴(참굴)	100
굴(참굴)	100
굴(참굴)	100
굴(참굴)	100
굴(참굴)	100
멍게(우렁쉥이)-국내산	100
멍게(우렁쉥이)-내장	100
멍게(우렁쉥이)-수입산	100
멍게(우렁쉥이)-수입산	100
멍게(우렁쉥이)-육질부	100
메기-알	100
메기-양식산	100
